;2;2;2;2;2;2;2;2;2;2
;cost;cost;cost;cost;cost;cost;cost;cost;cost;cost
;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
A1;0.0058;0.0036;0.0028;0.0217;0.0070;0.0287;0.0186;0.0033;0.0550;0.0300
A2;0.0076;0.0047;0.0037;0.0192;0.0070;0.0147;0.0190;0.0033;0.0218;0.0265
A3;0.0065;0.0040;0.0032;0.0241;0.0070;0.0030;0.0192;0.0033;0.0145;0.0332
A4;0.0083;0.0051;0.0040;0.0199;0.0070;0.0025;0.0199;0.0033;0.0184;0.0275
A5;0.0055;0.0031;0.0023;0.0161;0.0083;0.0212;0.0155;0.0040;0.0550;0.0222
A6;0.0072;0.0040;0.0030;0.0140;0.0083;0.0108;0.0158;0.0040;0.0218;0.0205
A7;0.0062;0.0035;0.0026;0.0175;0.0083;0.0022;0.0160;0.0039;0.0145;0.0241
A8;0.0079;0.0044;0.0033;0.0152;0.0083;0.0019;0.0166;0.0039;0.0184;0.0210